site,log_id,species,approx_1_m3,approx_2_m3,prefire_vol_m3,vol_init_m3,length_init_m,x_sect_corr_m,fire_vol_reduction_m3,fire_reduction_perc,notes,,,,,,,,,,,
6,488,TSHE,0.282956967,0.248306771,0.810803437,1.0411,5.56,0.525,0.562496666,69.37521974,"MISSING COOKIES; FIVE PIECES: 37 DIAM, 0.92 LONG;22x11, 0.53 LONG;32 DIAM, 1.2 LONG; 34x17 DIAM, 0.44 LONG;26 DIAM, 0.43 LONG",,,,,,,,,,,
6,489,ABAM,0.002968805,0.002968805,0.5219184,0.7664,5.44,0,0.518949595,99.43117448,,,,,,,,,,,,
6,490,TSHE,0.263082205,0.263082205,0.80711,0.9385,5.25,0,0.544027795,67.40441764,FRAGMENTING,,,,,,,,,,,
6,491,ABAM,0,0,0.7462398,1.0958,5.6,0,0.7462398,100,,,,,,,,,,,,
6,492,TSHE,0.531767571,0.531767571,0.91848,1.068,5.53,0,0.386712429,42.10352202,,,,,,,,,,,,
6,493,PSME,0.328252225,0.324323103,1.14476201,1.4225,5.54,0.525,0.820438907,71.66894952,"MISSING COOKIES; SIX PIECES: 24 DIAM, 0.5 LONG; 33 DIAM, 0.92 LONG; 35 DIAM, 0.62 LONG; 35 DIAM,0.59 LONG; 51x10 DIAM, 0.42 LONG; 41 DIAM, 0.68 LONG",,,,,,,,,,,
6,494,ABAM,0,0,1.0740732,1.5772,5.48,0.525,1.0740732,100,"NOT FOUND, BUT ASSUMED TO BE COMPLETELY COMBUSTED",,,,,,,,,,,
6,495,TSHE,0.101006131,0.101006131,0.854496,0.9936,5.46,0,0.753489869,88.17944955,,,,,,,,,,,,
6,496,ABAM,0,0,1.2044847,1.7687,5.48,0.375,1.2044847,100,,,,,,,,,,,,
6,497,PSME,0.538840082,0.538840082,1.0610215,1.1935,5.55,0.375,0.522181419,49.21497053,,,,,,,,,,,,
6,498,PSME,0.958467194,0.958467194,1.3080746,1.4714,5.5,0,0.349607406,26.72687065,,,,,,,,,,,,
6,499,TSHE,0.424017619,0.424017619,0.804186,0.9351,5.54,0,0.380168381,47.27368807,SUSPENDED BY ROOTS,,,,,,,,,,,
6,500,ABAM,0,0,0.5616207,0.8247,5.41,0,0.5616207,100,,,,,,,,,,,,
6,501,THPL,0.565375413,0.565375413,0.724464,0.936,5.43,0,0.159088587,21.95948827,,,,,,,,,,,,
6,502,PSME,0.140382068,0.139851924,0.732196018,0.8833,5.55,0.375,0.592344094,80.89966066,"TWO PIECES: 33 DIAM, 0.85 LONG; 30 DIAM, 0.95 LONG",,,,,,,,,,,
6,503,TSHE,0.155605179,0.132559502,1.07409319,1.3398,5.53,0.375,0.941533688,87.65847291,"THREE PIECES: 28x15 CM DIAM, 0.88 LONG; 47x22, 1.2 M LONG; 20x9 DIAM, 0.43 LONG",,,,,,,,,,,
6,504,PSME,0.927941385,0.927941385,1.1412093,1.2837,5.46,0,0.213267915,18.68788792,,,,,,,,,,,,
6,505,PSME,0.740224025,0.740224025,1.0862691,1.2219,5.52,0,0.346045076,31.85629375,,,,,,,,,,,,
6,506,PSME,0.763433195,0.763433195,0.952119,1.071,5.54,0,0.188685805,19.81746034,,,,,,,,,,,,
6,507,TSHE,0.11335835,0.174306556,0.713419054,0.9164,5.54,0.525,0.539112498,75.56743754,"MISSING COOKIES; THREE PIECES: 90x17 DIAM, 1.05 LONG; 40x13, 0.45 LONG; 42x22, 0.41 LONG",,,,,,,,,,,
6,508,PSME,0.198974734,0.198974734,0.7880096,0.8864,5.49,0.525,0.589034866,74.74970683,,,,,,,,,,,,
6,509,TSHE,0.596941874,0.596941874,1.23238,1.433,5.49,0.375,0.635438126,51.56186614,,,,,,,,,,,,
6,510,TSHE,0.420693945,0.420693945,0.97911,1.1385,5.48,0,0.558416055,57.03302543,,,,,,,,,,,,
